payment_id,policy_id,billing_month,premium_due,amount_paid,payment_status
PM0013386,P00686,2025-06-01,187.22,187.22,Paid
PM0012061,P00624,2025-12-01,918.51,300.37,Partial
PM0014174,P00729,2025-06-01,122.57,122.57,Paid
PM0007769,P00402,2024-12-01,234.54,234.54,Paid
PM0014241,P00732,2026-05-01,130.64,130.64,Paid
PM0009374,P00483,2024-12-01,149.54,149.54,Paid
PM0011288,P00586,2025-12-01,835.48,835.48,Paid
PM0000980,P00045,2025-03-01,217.69,217.69,Paid
PM0006726,P00343,2024-12-01,97.41,97.41,Paid
PM0011830,P00614,2023-01-01,82.1,82.1,Paid
PM0003629,P00182,2026-02-01,226.88,226.88,Paid
PM0006474,P00331,2025-12-01,100.4,100.4,Paid
PM0008767,P00451,2023-08-01,195.14,195.14,Paid
PM0012199,P00630,2025-12-01,287.44,287.44,Paid
PM0010118,P00520,2024-03-01,52.54,52.54,Paid
PM0010850,P00554,2026-02-01,46.23,46.23,Paid
PM0004465,P00232,2024-09-01,449.75,449.75,Paid
PM0012342,P00635,2025-05-01,102.05,102.05,Paid
PM0001315,P00060,2026-03-01,387.34,0.0,Missed
PM0013380,P00686,2024-12-01,187.22,187.22,Paid
PM0012271,P00632,2026-05-01,213.13,213.13,Paid
PM0010228,P00525,2025-09-01,29.64,29.64,Paid
PM0003933,P00200,2023-11-01,352.42,352.42,Paid
PM0012343,P00635,2025-06-01,102.05,102.05,Paid
PM0003414,P00168,2026-01-01,236.69,236.69,Paid
PM0007272,P00375,2026-02-01,175.07,175.07,Paid
PM0005927,P00311,2024-06-01,179.72,179.72,Paid
PM0004594,P00239,2025-10-01,151.43,151.43,Paid
PM0007029,P00360,2025-09-01,259.6,259.6,Paid
PM0009806,P00504,2026-03-01,604.93,604.93,Paid
PM0010518,P00538,2025-05-01,199.22,199.22,Paid
PM0002831,P00140,2026-04-01,584.86,584.86,Paid
PM0002070,P00102,2024-07-01,406.58,406.58,Paid
PM0012330,P00635,2024-05-01,102.05,102.05,Paid
PM0008717,P00448,2026-05-01,387.88,387.88,Paid
PM0010277,P00527,2026-05-01,559.89,559.89,Paid
PM0012298,P00634,2023-11-01,347.04,347.04,Paid
PM0014236,P00732,2025-12-01,130.64,130.64,Paid
PM0009937,P00511,2025-04-01,105.47,105.47,Paid
PM0006103,P00317,2024-09-01,140.28,140.28,Paid
PM0005797,P00305,2025-10-01,258.23,258.23,Paid
PM0001220,P00056,2024-06-01,259.01,259.01,Paid
PM0001426,P00067,2023-11-01,198.85,198.85,Paid
PM0012944,P00664,2026-02-01,74.73,74.73,Paid
PM0012225,P00631,2025-12-01,315.0,315.0,Paid
PM0004171,P00214,2025-09-01,377.99,377.99,Paid
PM0006633,P00338,2025-06-01,127.34,0.0,Missed
PM0014452,P00743,2025-05-01,540.59,540.59,Paid
PM0011811,P00612,2026-05-01,744.62,744.62,Paid
PM0007266,P00374,2026-02-01,115.5,115.5,Paid
PM0004301,P00224,2024-12-01,642.21,642.21,Paid
PM0007275,P00375,2026-05-01,175.07,175.07,Paid
PM0003343,P00166,2025-06-01,263.35,263.35,Paid
PM0010556,P00541,2025-01-01,116.95,116.95,Paid
PM0001618,P00076,2025-12-01,588.77,588.77,Paid
PM0000002,P00001,2025-10-01,86.9,86.9,Paid
PM0005315,P00281,2025-09-01,44.33,15.11,Partial
PM0007960,P00413,2024-05-01,357.69,153.02,Partial
PM0006296,P00325,2023-09-01,59.23,59.23,Paid
PM0000870,P00040,2025-01-01,362.78,362.78,Paid
PM0013975,P00716,2026-06-01,205.59,205.59,Paid
PM0000033,P00003,2025-06-01,40.13,40.13,Paid
PM0010942,P00562,2026-03-01,285.53,285.53,Paid
PM0006866,P00350,2025-10-01,338.69,338.69,Paid
PM0007132,P00367,2026-05-01,613.85,272.19,Partial
PM0012072,P00625,2023-10-01,177.27,177.27,Paid
PM0011307,P00588,2024-07-01,743.35,743.35,Paid
PM0012870,P00661,2024-06-01,413.69,413.69,Paid
PM0010869,P00557,2024-01-01,321.82,321.82,Paid
PM0007528,P00389,2025-10-01,270.03,270.03,Paid
PM0007361,P00380,2024-12-01,367.3,0.0,Missed
PM0005543,P00295,2025-07-01,314.75,314.75,Paid
PM0005947,P00311,2026-02-01,179.72,179.72,Paid
PM0003521,P00173,2024-08-01,247.69,247.69,Paid
PM0010364,P00532,2025-01-01,412.5,412.5,Paid
PM0009320,P00480,2025-10-01,671.59,530.93,Partial
PM0000990,P00045,2026-01-01,217.69,0.0,Missed
PM0004181,P00214,2026-07-01,377.99,377.99,Paid
PM0007774,P00402,2025-05-01,234.54,0.0,Missed
PM0004461,P00232,2024-05-01,449.75,449.75,Paid
PM0012504,P00642,2025-09-01,421.15,421.15,Paid
PM0010614,P00543,2025-02-01,150.12,150.12,Paid
PM0010179,P00524,2024-02-01,189.03,189.03,Paid
PM0003992,P00203,2026-06-01,231.55,231.55,Paid
PM0009924,P00511,2024-03-01,105.47,105.47,Paid
PM0011376,P00590,2025-08-01,368.18,368.18,Paid
PM0002241,P00112,2025-07-01,402.19,402.19,Paid
PM0006939,P00353,2025-09-01,81.36,81.36,Paid
PM0008261,P00428,2025-05-01,71.98,0.0,Missed
PM0008285,P00429,2024-12-01,306.99,306.99,Paid
PM0013621,P00698,2025-08-01,286.36,286.36,Paid
PM0006336,P00326,2023-09-01,203.51,203.51,Paid
PM0004201,P00218,2026-05-01,617.01,617.01,Paid
PM0011237,P00583,2025-06-01,68.95,68.95,Paid
PM0007518,P00389,2024-12-01,270.03,270.03,Paid
PM0000125,P00008,2026-01-01,317.11,317.11,Paid
PM0007150,P00369,2025-09-01,183.55,183.55,Paid
PM0005154,P00272,2024-06-01,176.81,176.81,Paid
PM0002417,P00123,2026-05-01,697.83,697.83,Paid
PM0002694,P00135,2026-06-01,168.03,168.03,Paid
PM0010132,P00521,2025-01-01,21.45,21.45,Paid
PM0004332,P00225,2026-02-01,210.95,210.95,Paid
PM0002273,P00113,2025-01-01,16.19,16.19,Paid
PM0012873,P00661,2024-09-01,413.69,413.69,Paid
PM0003877,P00197,2024-03-01,810.95,810.95,Paid
PM0001814,P00085,2023-09-01,176.78,176.78,Paid
PM0005979,P00312,2025-06-01,199.07,199.07,Paid
PM0000812,P00037,2024-11-01,530.5,530.5,Paid
PM0003872,P00197,2023-10-01,810.95,810.95,Paid
PM0004260,P00221,2026-07-01,354.54,354.54,Paid
PM0011096,P00572,2025-09-01,619.24,619.24,Paid
PM0006933,P00353,2025-03-01,81.36,81.36,Paid
PM0009916,P00510,2025-10-01,375.08,375.08,Paid
PM0014136,P00727,2025-09-01,87.81,87.81,Paid
PM0008218,P00427,2024-03-01,290.48,290.48,Paid
PM0006410,P00328,2023-06-01,68.94,68.94,Paid
PM0000705,P00032,2025-05-01,457.22,457.22,Paid
PM0002638,P00132,2026-03-01,323.1,323.1,Paid
PM0004775,P00250,2025-09-01,70.42,70.42,Paid
PM0001145,P00053,2025-05-01,742.45,742.45,Paid
PM0010436,P00535,2025-04-01,145.59,145.59,Paid
PM0003636,P00183,2023-03-01,179.81,179.81,Paid
PM0012344,P00635,2025-07-01,102.05,102.05,Paid
PM0013248,P00679,2024-12-01,445.32,445.32,Paid
PM0011959,P00619,2024-01-01,377.2,377.2,Paid
PM0005107,P00270,2025-02-01,117.73,117.73,Paid
PM0010297,P00529,2024-01-01,279.09,279.09,Paid
PM0005155,P00272,2024-07-01,176.81,176.81,Paid
PM0014165,P00729,2024-09-01,122.57,122.57,Paid
PM0003892,P00197,2025-06-01,810.95,810.95,Paid
PM0004216,P00220,2025-12-01,204.49,204.49,Paid
PM0007309,P00378,2024-10-01,521.31,521.31,Paid
PM0011774,P00609,2024-10-01,446.21,446.21,Paid
PM0009778,P00503,2025-04-01,165.85,165.85,Paid
PM0008235,P00427,2025-08-01,290.48,290.48,Paid
PM0007265,P00374,2026-01-01,115.5,115.5,Paid
PM0009684,P00498,2026-01-01,514.18,514.18,Paid
PM0008748,P00449,2026-02-01,33.62,33.62,Paid
PM0013495,P00693,2024-09-01,313.0,313.0,Paid
PM0007654,P00396,2025-06-01,555.67,555.67,Paid
PM0010893,P00557,2026-01-01,321.82,321.82,Paid
PM0006717,P00343,2024-03-01,97.41,97.41,Paid
PM0000532,P00025,2025-11-01,170.93,170.93,Paid
PM0013913,P00713,2024-07-01,694.25,694.25,Paid
PM0009919,P00510,2026-01-01,375.08,375.08,Paid
PM0014500,P00747,2023-10-01,149.96,149.96,Paid
PM0002569,P00130,2026-07-01,248.96,248.96,Paid
PM0004261,P00222,2024-08-01,42.17,42.17,Paid
PM0014416,P00740,2026-03-01,758.16,758.16,Paid
PM0005348,P00282,2026-05-01,396.55,396.55,Paid
PM0005464,P00288,2025-08-01,209.3,209.3,Paid
PM0003016,P00150,2025-07-01,66.26,66.26,Paid
PM0002303,P00116,2024-04-01,303.7,303.7,Paid
PM0005520,P00293,2026-07-01,499.13,499.13,Paid
PM0000775,P00035,2026-03-01,139.14,0.0,Missed
PM0002851,P00142,2026-04-01,318.6,318.6,Paid
PM0008571,P00442,2025-08-01,89.15,89.15,Paid
PM0011428,P00592,2025-04-01,136.15,136.15,Paid
PM0008872,P00454,2025-06-01,258.55,258.55,Paid
PM0005700,P00303,2024-03-01,242.73,242.73,Paid
PM0009414,P00485,2024-02-01,288.29,288.29,Paid
PM0008391,P00435,2024-05-01,160.67,160.67,Paid
PM0001199,P00055,2024-11-01,480.85,480.85,Paid
PM0008244,P00427,2026-05-01,290.48,290.48,Paid
PM0013377,P00686,2024-09-01,187.22,187.22,Paid
PM0013351,P00684,2026-03-01,128.15,128.15,Paid
PM0013773,P00706,2024-11-01,257.22,257.22,Paid
PM0013222,P00677,2026-04-01,138.01,138.01,Paid
PM0006622,P00338,2024-07-01,127.34,127.34,Paid
PM0014516,P00747,2025-02-01,149.96,149.96,Paid
PM0002497,P00127,2025-06-01,117.63,117.63,Paid
PM0001043,P00047,2026-03-01,167.5,167.5,Paid
PM0008776,P00451,2024-05-01,195.14,195.14,Paid
PM0000243,P00014,2025-01-01,207.74,207.74,Paid
PM0004000,P00204,2025-11-01,465.1,465.1,Paid
PM0008258,P00428,2025-02-01,71.98,0.0,Missed
PM0000417,P00020,2024-10-01,573.96,573.96,Paid
PM0006377,P00327,2024-01-01,428.66,428.66,Paid
PM0007248,P00374,2024-08-01,115.5,115.5,Paid
PM0004505,P00234,2024-02-01,101.87,101.87,Paid
PM0004671,P00245,2025-10-01,696.24,696.24,Paid
PM0010902,P00561,2025-05-01,75.19,75.19,Paid
PM0013604,P00698,2024-03-01,286.36,286.36,Paid
PM0001839,P00085,2025-10-01,176.78,176.78,Paid
PM0001300,P00059,2025-08-01,134.5,134.5,Paid
PM0000718,P00032,2026-06-01,457.22,457.22,Paid
PM0005285,P00278,2023-12-01,317.71,317.71,Paid
PM0006176,P00320,2023-09-01,149.0,149.0,Paid
PM0004876,P00257,2023-07-01,229.95,229.95,Paid
PM0000822,P00037,2025-09-01,530.5,530.5,Paid
PM0008547,P00442,2023-08-01,89.15,89.15,Paid
PM0008404,P00436,2023-08-01,410.56,410.56,Paid
PM0008050,P00416,2026-01-01,127.49,127.49,Paid
PM0008933,P00459,2024-06-01,413.49,0.0,Missed
PM0000349,P00018,2023-09-01,131.65,131.65,Paid
PM0002218,P00110,2023-08-01,107.57,107.57,Paid
PM0000454,P00021,2026-03-01,195.65,195.65,Paid
PM0004612,P00241,2024-12-01,232.67,232.67,Paid
PM0001258,P00058,2024-09-01,375.89,375.89,Paid
PM0004825,P00254,2025-01-01,311.13,311.13,Paid
PM0003406,P00168,2025-05-01,236.69,236.69,Paid
PM0009936,P00511,2025-03-01,105.47,105.47,Paid
PM0003819,P00191,2024-11-01,295.15,295.15,Paid
PM0003044,P00152,2024-02-01,108.42,108.42,Paid
PM0008267,P00428,2025-11-01,71.98,71.98,Paid
PM0009021,P00466,2025-11-01,167.02,0.0,Missed
PM0007429,P00384,2025-03-01,545.23,545.23,Paid
PM0001991,P00097,2025-08-01,539.09,539.09,Paid
PM0002661,P00133,2025-05-01,144.56,144.56,Paid
PM0013462,P00691,2026-06-01,315.56,315.56,Paid
PM0009279,P00478,2024-05-01,129.82,129.82,Paid
PM0012709,P00652,2025-10-01,687.04,687.04,Paid
PM0008472,P00438,2024-07-01,374.73,374.73,Paid
PM0009487,P00487,2025-04-01,378.75,378.75,Paid
PM0000375,P00018,2025-11-01,131.65,131.65,Paid
PM0009468,P00487,2023-09-01,378.75,378.75,Paid
PM0007495,P00389,2023-01-01,270.03,270.03,Paid
PM0000095,P00007,2025-12-01,495.09,495.09,Paid
PM0012435,P00639,2024-06-01,117.84,117.84,Paid
PM0012874,P00661,2024-10-01,413.69,0.0,Missed
PM0014357,P00738,2026-01-01,544.15,544.15,Paid
PM0010313,P00529,2025-05-01,279.09,279.09,Paid
PM0009031,P00467,2026-03-01,174.62,174.62,Paid
PM0001718,P00079,2025-11-01,234.25,234.25,Paid
PM0010232,P00525,2026-01-01,29.64,29.64,Paid
PM0002477,P00126,2026-04-01,184.68,61.81,Partial
PM0012659,P00650,2025-04-01,300.09,300.09,Paid
PM0001386,P00066,2023-11-01,343.28,343.28,Paid
PM0011887,P00616,2025-02-01,648.72,229.36,Partial
PM0006861,P00350,2025-05-01,338.69,338.69,Paid
PM0000589,P00027,2024-02-01,65.33,65.33,Paid
PM0001646,P00077,2024-09-01,179.71,179.71,Paid
PM0007270,P00374,2026-06-01,115.5,115.5,Paid
PM0007533,P00389,2026-03-01,270.03,270.03,Paid
PM0013514,P00693,2026-04-01,313.0,0.0,Missed
PM0013790,P00706,2026-04-01,257.22,257.22,Paid
PM0005803,P00305,2026-04-01,258.23,258.23,Paid
PM0010425,P00535,2024-05-01,145.59,145.59,Paid
PM0013043,P00671,2023-01-01,377.8,377.8,Paid
PM0013047,P00671,2023-05-01,377.8,377.8,Paid
PM0000248,P00014,2025-06-01,207.74,164.16,Partial
PM0014528,P00747,2026-02-01,149.96,149.96,Paid
PM0013288,P00682,2026-06-01,511.43,511.43,Paid
PM0013240,P00679,2024-04-01,445.32,445.32,Paid
PM0013357,P00685,2025-12-01,432.99,432.99,Paid
PM0002772,P00139,2023-06-01,560.94,560.94,Paid
PM0008443,P00437,2025-07-01,250.12,250.12,Paid
PM0011475,P00593,2026-04-01,142.88,61.88,Partial
PM0013355,P00684,2026-07-01,128.15,128.15,Paid
PM0002238,P00112,2025-04-01,402.19,0.0,Missed
PM0004559,P00236,2026-07-01,768.82,768.82,Paid
PM0003942,P00200,2024-08-01,352.42,258.25,Partial
PM0009784,P00503,2025-10-01,165.85,165.85,Paid
PM0010264,P00527,2025-04-01,559.89,559.89,Paid
PM0001513,P00069,2025-03-01,143.01,143.01,Paid
PM0010517,P00538,2025-04-01,199.22,199.22,Paid
PM0003361,P00167,2023-10-01,379.76,379.76,Paid
PM0002820,P00140,2025-05-01,584.86,584.86,Paid
PM0013013,P00668,2024-08-01,75.59,23.65,Partial
PM0013702,P00702,2025-11-01,279.0,279.0,Paid
PM0011508,P00595,2024-09-01,625.3,625.3,Paid
PM0002250,P00112,2026-04-01,402.19,402.19,Paid
PM0001349,P00065,2023-12-01,174.21,174.21,Paid
PM0010598,P00542,2026-01-01,177.89,177.89,Paid
PM0011762,P00608,2025-12-01,73.34,73.34,Paid
PM0003234,P00162,2024-06-01,283.27,283.27,Paid
PM0003266,P00163,2023-12-01,505.44,505.44,Paid
PM0006318,P00325,2025-07-01,59.23,59.23,Paid
PM0009167,P00472,2026-07-01,256.58,256.58,Paid
PM0004746,P00249,2026-04-01,320.96,320.96,Paid
PM0000083,P00007,2024-12-01,495.09,495.09,Paid
PM0000582,P00027,2023-07-01,65.33,65.33,Paid
PM0008742,P00449,2025-08-01,33.62,33.62,Paid
PM0012443,P00639,2025-02-01,117.84,117.84,Paid
PM0003377,P00167,2025-02-01,379.76,379.76,Paid
PM0010300,P00529,2024-04-01,279.09,279.09,Paid
PM0006789,P00345,2026-03-01,661.78,661.78,Paid
PM0012139,P00627,2026-05-01,193.55,193.55,Paid
PM0005703,P00303,2024-06-01,242.73,242.73,Paid
PM0008283,P00429,2024-10-01,306.99,0.0,Missed
PM0006151,P00318,2025-02-01,212.45,212.45,Paid
PM0013081,P00671,2026-03-01,377.8,377.8,Paid
PM0001154,P00053,2026-02-01,742.45,742.45,Paid
PM0010170,P00523,2025-05-01,185.15,185.15,Paid
PM0013704,P00702,2026-01-01,279.0,279.0,Paid
PM0002901,P00144,2024-06-01,499.74,499.74,Paid
PM0001403,P00066,2025-04-01,343.28,343.28,Paid
PM0014379,P00739,2024-04-01,147.41,147.41,Paid
PM0008083,P00418,2023-11-01,476.51,148.44,Partial
PM0003908,P00198,2025-11-01,269.68,269.68,Paid
PM0004325,P00225,2025-07-01,210.95,210.95,Paid
PM0014456,P00743,2025-09-01,540.59,540.59,Paid
PM0013651,P00700,2023-10-01,330.96,330.96,Paid
PM0011893,P00616,2025-08-01,648.72,222.53,Partial
PM0006021,P00314,2026-01-01,212.52,212.52,Paid
PM0007163,P00370,2024-03-01,138.19,138.19,Paid
PM0000293,P00015,2025-11-01,224.35,224.35,Paid
PM0001488,P00068,2026-04-01,397.96,397.96,Paid
PM0011829,P00613,2024-11-01,192.22,192.22,Paid
PM0008024,P00416,2023-11-01,127.49,127.49,Paid
PM0007800,P00403,2026-04-01,137.28,137.28,Paid
PM0005401,P00285,2023-12-01,357.44,357.44,Paid
PM0013925,P00713,2025-07-01,694.25,0.0,Missed
PM0010215,P00525,2024-08-01,29.64,29.64,Paid
PM0000947,P00044,2024-09-01,205.22,205.22,Paid
PM0011248,P00583,2026-05-01,68.95,68.95,Paid
PM0007072,P00364,2024-05-01,492.7,492.7,Paid
PM0012158,P00629,2024-06-01,489.53,489.53,Paid
PM0002389,P00120,2026-07-01,849.25,849.25,Paid
PM0013300,P00683,2024-11-01,256.4,256.4,Paid
PM0000710,P00032,2025-10-01,457.22,457.22,Paid
PM0001405,P00066,2025-06-01,343.28,343.28,Paid
PM0010795,P00551,2025-08-01,211.89,211.89,Paid
PM0005411,P00285,2024-10-01,357.44,357.44,Paid
PM0008047,P00416,2025-10-01,127.49,127.49,Paid
PM0011381,P00590,2026-01-01,368.18,368.18,Paid
PM0004721,P00248,2026-06-01,168.99,168.99,Paid
PM0012382,P00636,2025-12-01,152.85,0.0,Missed
PM0004459,P00232,2024-03-01,449.75,449.75,Paid
PM0003424,P00169,2026-03-01,99.54,0.0,Missed
PM0008014,P00415,2026-04-01,435.73,435.73,Paid
PM0010702,P00548,2024-09-01,679.35,679.35,Paid
PM0004074,P00210,2023-07-01,422.89,422.89,Paid
PM0012218,P00631,2025-05-01,315.0,315.0,Paid
PM0014540,P00748,2025-10-01,233.16,233.16,Paid
PM0001239,P00056,2026-01-01,259.01,259.01,Paid
PM0008863,P00454,2024-09-01,258.55,258.55,Paid
PM0009829,P00506,2025-06-01,62.5,62.5,Paid
PM0000219,P00013,2026-06-01,149.19,149.19,Paid
PM0009108,P00470,2026-04-01,347.86,347.86,Paid
PM0010921,P00562,2024-06-01,285.53,0.0,Missed
PM0010753,P00549,2025-08-01,54.97,54.97,Paid
PM0005205,P00274,2025-01-01,208.87,208.87,Paid
PM0010476,P00537,2023-10-01,570.54,0.0,Missed
PM0009349,P00482,2026-02-01,168.92,168.92,Paid
PM0006944,P00353,2026-02-01,81.36,81.36,Paid
PM0005192,P00273,2026-02-01,147.79,147.79,Paid
PM0012969,P00666,2026-06-01,72.37,72.37,Paid
PM0008854,P00454,2023-12-01,258.55,258.55,Paid
PM0008306,P00430,2024-04-01,323.55,323.55,Paid
PM0003587,P00181,2025-04-01,134.24,134.24,Paid
PM0005783,P00305,2024-08-01,258.23,258.23,Paid
PM0011960,P00619,2024-02-01,377.2,377.2,Paid
PM0001449,P00067,2025-10-01,198.85,198.85,Paid
PM0005614,P00299,2025-08-01,121.63,121.63,Paid
PM0001475,P00068,2025-03-01,397.96,397.96,Paid
PM0012535,P00644,2026-01-01,490.38,490.38,Paid
PM0005539,P00294,2026-06-01,166.79,166.79,Paid
PM0004419,P00229,2025-03-01,486.41,486.41,Paid
PM0008015,P00415,2026-05-01,435.73,435.73,Paid
PM0001850,P00086,2024-10-01,178.36,178.36,Paid
PM0006233,P00322,2023-07-01,105.73,105.73,Paid
PM0011439,P00592,2026-03-01,136.15,136.15,Paid
PM0013683,P00700,2026-06-01,330.96,330.96,Paid
PM0011970,P00619,2024-12-01,377.2,377.2,Paid
PM0002741,P00137,2026-01-01,166.98,166.98,Paid
PM0014285,P00735,2026-04-01,209.61,209.61,Paid
PM0004726,P00249,2024-08-01,320.96,320.96,Paid
PM0010099,P00519,2025-02-01,429.63,429.63,Paid
PM0010452,P00536,2024-11-01,0.0,0.0,Paid
PM0012885,P00661,2025-09-01,413.69,413.69,Paid
PM0004155,P00212,2026-05-01,333.07,333.07,Paid
PM0009078,P00469,2024-05-01,458.43,458.43,Paid
PM0012841,P00660,2024-03-01,245.23,245.23,Paid
PM0002732,P00137,2025-04-01,166.98,166.98,Paid
PM0000644,P00028,2025-06-01,101.58,101.58,Paid
PM0004100,P00210,2025-09-01,422.89,422.89,Paid
PM0008344,P00433,2026-04-01,39.67,0.0,Missed
PM0010991,P00567,2024-12-01,85.61,85.61,Paid
PM0001885,P00091,2025-10-01,92.93,92.93,Paid
PM0006049,P00315,2025-09-01,113.63,113.63,Paid
PM0008296,P00429,2025-11-01,306.99,306.99,Paid
PM0010453,P00536,2024-12-01,0.0,0.0,Paid
PM0001160,P00054,2024-10-01,148.34,148.34,Paid
PM0009227,P00476,2025-11-01,595.25,595.25,Paid
PM0006905,P00351,2025-09-01,467.05,467.05,Paid
PM0005942,P00311,2025-09-01,179.72,179.72,Paid
PM0007153,P00369,2025-12-01,183.55,183.55,Paid
PM0007667,P00396,2026-07-01,555.67,555.67,Paid
PM0013352,P00684,2026-04-01,128.15,128.15,Paid
PM0010571,P00541,2026-04-01,116.95,0.0,Missed
PM0003265,P00163,2023-11-01,505.44,505.44,Paid
PM0010366,P00532,2025-03-01,412.5,412.5,Paid
PM0010405,P00534,2025-03-01,79.64,79.64,Paid
PM0002135,P00104,2025-09-01,248.78,248.78,Paid
PM0008596,P00443,2026-04-01,112.5,112.5,Paid
PM0011985,P00619,2026-03-01,377.2,377.2,Paid
PM0007387,P00381,2025-02-01,137.11,137.11,Paid
PM0008784,P00451,2025-01-01,195.14,0.0,Missed
PM0003240,P00162,2024-12-01,283.27,283.27,Paid
PM0001813,P00085,2023-08-01,176.78,0.0,Missed
PM0001067,P00049,2024-06-01,64.0,64.0,Paid
PM0002736,P00137,2025-08-01,166.98,166.98,Paid
PM0007416,P00382,2026-05-01,694.23,694.23,Paid
PM0010573,P00541,2026-06-01,116.95,0.0,Missed
PM0007344,P00379,2025-03-01,273.9,188.54,Partial
PM0003815,P00191,2024-07-01,295.15,295.15,Paid
PM0005507,P00291,2026-02-01,353.26,353.26,Paid
PM0001042,P00047,2026-02-01,167.5,167.5,Paid
PM0003267,P00163,2024-01-01,505.44,505.44,Paid
PM0004509,P00234,2024-06-01,101.87,0.0,Missed
PM0013374,P00686,2024-06-01,187.22,187.22,Paid
PM0005177,P00272,2026-05-01,176.81,176.81,Paid
PM0001658,P00077,2025-09-01,179.71,179.71,Paid
PM0004521,P00234,2025-06-01,101.87,101.87,Paid
PM0011013,P00568,2026-04-01,163.17,163.17,Paid
PM0007806,P00404,2024-06-01,661.28,661.28,Paid
PM0003116,P00156,2024-04-01,231.94,0.0,Missed
PM0010635,P00544,2024-04-01,524.96,524.96,Paid
PM0008743,P00449,2025-09-01,33.62,33.62,Paid
PM0000025,P00003,2024-10-01,40.13,40.13,Paid
PM0003467,P00171,2024-09-01,608.31,608.31,Paid
PM0011091,P00572,2025-04-01,619.24,619.24,Paid
PM0007857,P00407,2026-01-01,127.02,127.02,Paid
PM0006305,P00325,2024-06-01,59.23,59.23,Paid
PM0010602,P00542,2026-05-01,177.89,177.89,Paid
PM0006611,P00337,2025-12-01,119.24,119.24,Paid
PM0000085,P00007,2025-02-01,495.09,495.09,Paid
PM0004561,P00237,2026-04-01,155.16,155.16,Paid
PM0001851,P00086,2024-11-01,178.36,178.36,Paid
PM0009733,P00502,2023-07-01,394.36,394.36,Paid
PM0005407,P00285,2024-06-01,357.44,357.44,Paid
PM0005040,P00265,2024-10-01,372.15,372.15,Paid
PM0014343,P00738,2024-11-01,544.15,544.15,Paid
PM0000256,P00014,2026-02-01,207.74,207.74,Paid
PM0003134,P00156,2025-10-01,231.94,154.88,Partial
PM0011598,P00598,2024-08-01,191.48,191.48,Paid
PM0013249,P00680,2026-06-01,758.87,758.87,Paid
PM0007417,P00382,2026-06-01,694.23,694.23,Paid
PM0007271,P00374,2026-07-01,115.5,115.5,Paid
PM0001374,P00065,2026-01-01,174.21,174.21,Paid
PM0004854,P00255,2025-01-01,444.0,0.0,Missed
PM0003451,P00170,2025-12-01,388.44,253.17,Partial
PM0012638,P00650,2023-07-01,300.09,300.09,Paid
PM0006277,P00323,2026-05-01,267.34,267.34,Paid
PM0000825,P00037,2025-12-01,530.5,530.5,Paid
PM0004544,P00236,2025-04-01,768.82,768.82,Paid
PM0011586,P00598,2023-08-01,191.48,191.48,Paid
PM0008269,P00428,2026-01-01,71.98,71.98,Paid
PM0004340,P00226,2023-04-01,719.63,719.63,Paid
PM0000497,P00024,2026-05-01,108.85,108.85,Paid
PM0002056,P00100,2026-04-01,386.41,386.41,Paid
PM0010478,P00537,2023-12-01,570.54,570.54,Paid
PM0011233,P00583,2025-02-01,68.95,68.95,Paid
PM0001900,P00092,2025-09-01,216.63,216.63,Paid
PM0011710,P00604,2026-05-01,1040.1,1040.1,Paid
PM0008504,P00440,2024-12-01,373.63,373.63,Paid
PM0010491,P00537,2025-01-01,570.54,570.54,Paid
PM0006533,P00334,2025-07-01,525.35,525.35,Paid
PM0008069,P00417,2026-02-01,219.24,219.24,Paid
PM0011540,P00596,2024-08-01,174.96,174.96,Paid
PM0003772,P00190,2024-05-01,488.35,488.35,Paid
PM0001098,P00050,2024-12-01,405.72,405.72,Paid
PM0011359,P00589,2026-02-01,180.3,97.22,Partial
PM0002288,P00113,2026-04-01,16.19,16.19,Paid
PM0004147,P00211,2026-02-01,481.39,481.39,Paid
PM0005805,P00305,2026-06-01,258.23,258.23,Paid
PM0013934,P00713,2026-04-01,694.25,694.25,Paid
PM0002811,P00140,2024-08-01,584.86,584.86,Paid
PM0001092,P00049,2026-07-01,64.0,64.0,Paid
PM0012888,P00661,2025-12-01,413.69,413.69,Paid
PM0010987,P00566,2025-10-01,572.96,258.56,Partial
PM0008930,P00459,2024-03-01,413.49,136.42,Partial
PM0005485,P00290,2025-01-01,564.15,564.15,Paid
PM0014013,P00720,2025-01-01,339.91,339.91,Paid
PM0004969,P00262,2023-08-01,377.63,377.63,Paid
PM0002596,P00131,2026-03-01,359.57,359.57,Paid
PM0004252,P00221,2025-11-01,354.54,354.54,Paid
PM0005882,P00309,2024-05-01,396.29,396.29,Paid
PM0001878,P00089,2026-04-01,211.65,211.65,Paid
PM0001559,P00072,2026-06-01,185.22,185.22,Paid
PM0014311,P00736,2025-11-01,122.83,122.83,Paid
PM0000526,P00025,2025-05-01,170.93,170.93,Paid
PM0003805,P00191,2023-09-01,295.15,295.15,Paid
PM0001492,P00069,2023-06-01,143.01,143.01,Paid
PM0005545,P00295,2025-09-01,314.75,314.75,Paid
PM0010620,P00543,2025-08-01,150.12,150.12,Paid
PM0008041,P00416,2025-04-01,127.49,127.49,Paid
PM0012053,P00624,2025-04-01,918.51,918.51,Paid
PM0012212,P00631,2024-11-01,315.0,187.15,Partial
PM0005283,P00278,2023-10-01,317.71,317.71,Paid
