claim_id,policy_id,claim_date,cause_of_loss,claim_amount,claim_status,paid_amount
CL000205,P00411,2026-07-15,Loss,521.89,Approved,521.89
CL000105,P00225,2026-01-28,Hijacking,10944.63,Pending,0.0
CL000374,P00713,2024-09-02,Third Party Damage,10754.26,Approved,10754.26
CL000075,P00154,2025-09-23,Power Surge,469.1,Approved,469.1
CL000119,P00254,2025-11-11,Storm/Wind Damage,15688.98,Approved,15688.98
CL000142,P00299,2025-07-30,Third Party Property Damage,973.67,Rejected,0.0
CL000050,P00092,2025-09-06,Fire,1568.39,Approved,1568.39
CL000279,P00558,2026-07-31,Power Surge,1594.0,Approved,1594.0
CL000333,P00654,2024-12-22,Windscreen,6137.88,Pending,0.0
CL000260,P00527,2025-11-09,Third Party Damage,1429.3,Approved,1429.3
CL000131,P00277,2026-07-29,Water Damage,1869.31,Rejected,0.0
CL000242,P00482,2025-08-10,Theft/Burglary,2617.47,Rejected,0.0
CL000254,P00507,2025-09-11,Third Party Injury,1134.0,Approved,1134.0
CL000391,P00745,2026-07-30,Collision,9983.56,Approved,9983.56
CL000156,P00318,2024-04-02,Fire,7943.5,Approved,7943.5
CL000332,P00651,2026-04-03,Hijacking,3457.65,Approved,3457.65
